Field Name,Data Type,Definition
Call Number,Text,A unique 9-digit number assigned by the 911 Dispatch Center (DEM) to this call. These number are used for both Police and Fire calls.
Unit ID,Text,Unit Identifier. For example E01 for Engine 1 or T01 for Truck 1.
Incident Number,Text,A unique 8-digit number assigned by DEM to this Fire incident.
Call Date,Date & Time,Date the call is received at the 911 Dispatch Center. Used for reporting purposes.
Call Type,Text,Type of call the incident falls into. See the list below.
Watch Date,Date & Time,Watch date when the call is received. Watch date starts at 0800 each morning and ends at 0800 the next day.
Received DtTm,Date & Time,Date and time of call is received at the 911 Dispatch Center.
Entry DtTm,Date & Time,Date and time the 911 operator submits the entry of the initical call information into the CAD system
Dispatch DtTm,Date & Time,Date and time the 911 operator dispatches this unit to the call.
Response DtTm,Date & Time,Date and time this unit acknowledges the dispatch and records that the unit is en route to the location of the call.
On Scene DtTm,Date & Time,Date and time the unit records arriving to the location of the incident
AVL Validated On Scene DtTm,Date & Time,Updated date and time the unit arrived on scene based on existing unit AVL coordinates.
Transport DtTm,Date & Time,"If this unit is an ambulance, date and time the unit begins the transport unit arrives to hospital"
Hospital DtTm,Date & Time,"If this unit is an ambulance, date and time the unit arrives to the hospital."
Call Final Disposition,Text,"Disposition of the call (Code). For example TH2: Transport to Hospital - Code 2, FIR: Resolved by Fire Department"
Available DtTm,Date & Time,Date and time this unit is not longer assigned to this call and it is available for another dispatch.
Address,Text,Address of midblock point associated with incident (obfuscated address to protect caller privacy)
City,Text,City of incident
Zipcode of Incident,Text,Zipcode of incident
Battalion,Text,Emergency Response District (There are 9 Fire Emergency Response Districts)
Station Area,Text,Fire Station First Response Area associated with the address of the incident
Box,Text,"Fire box associated with the address of the incident. A box is the smallest area used to divide the City. Each box is associated with a unique unit dispatch order. The City is divided into more than 2,400 boxes."
Original Priority,Text,Initial call priority (Code 2: Non-Emergency or Code 3:Emergency).
Priority,Text,Call priority (Code 2: Non-Emergency or Code 3:Emergency).
Final Priority,Text,Final call priority (Code 2: Non-Emergency or Code 3:Emergency).
ALS Unit,Boolean (True/False),Does this unit includes ALS (Advance Life Support) resources? Is there a paramedic in this unit?
Call Type Group,Text,"Call types are divided into four main groups: Fire, Alarm, Potential Life Threatening and Non Life Threatening."
Number of Alarms,Numeric,Number of alarms associated with the incident. This is a number between 1 and 5.
Unit Type,Text,Unit type
Unit sequence in call dispatch,Numeric,A number that indicates the order this unit was assigned to this call
Location,Coordinates,"Latitude and longitude of address obfuscated either to the midblock, intersection or call box"
Fire Prevention District,Text,Bureau of Fire Prevention District associated with this address
Supervisor District,Text,Supervisor District associated with this address
Neighborhood District,Text,"Neighborhood District associated with this address, boundaries available here: https://data.sfgov.org/d/p5b7-5n3h"
RowID,Text,Unique identifier used for managing data updates. It is the concatenation of Call Number and Unit ID separated by a dash
